ParticipantID,Condition,Nametag,Intro,Pronoun_Pair,T_Pronoun,C_Pronoun,T_ID,TrialID,Transcription,He,His,She,Her,They,Their,Disfluency,MultiplePronouns,PronounProduced,Accuracy
3_038,both,1,1,HS_T,she,they,11,both_list4_critical19_she,Jordan gave the carrot to her sister.,0,0,0,1,0,0,0,0,her,1
3_038,both,1,1,HS_T,she,they,11,both_list4_critical20_she,Jordan gave the lemon to her brother.,0,0,0,1,0,0,0,0,her,1
3_038,both,1,1,T_HS,they,she,12,both_list4_critical21_they,Sam gave the pizza to their brother.,0,0,0,0,0,1,0,0,their,1
3_038,both,1,1,T_HS,they,she,12,both_list4_critical22_they,Sam gave the plate to their sister.,0,0,0,0,0,1,0,0,their,1
3_038,both,1,1,T_HS,they,she,12,both_list4_critical23_they,Sam gave the orange to their sister.,0,0,0,0,0,1,0,0,their,1
3_038,both,1,1,T_HS,they,she,12,both_list4_critical24_they,Sam gave the potato to their brother.,0,0,0,0,0,1,0,0,their,1
3_038,both,1,1,T_HS,they,she,12,both_list4_critical25_they,Sam gave the apple to their sister.,0,0,0,0,0,1,0,0,their,1
3_038,both,1,1,T_HS,they,he,12,both_list4_critical26_they,Sam gave the onion to their brother.,0,0,0,0,0,1,0,0,their,1
3_038,both,1,1,T_HS,they,he,12,both_list4_critical27_they,Sam gave the watermelon to their brother.,0,0,0,0,0,1,0,0,their,1
3_038,both,1,1,T_HS,they,he,12,both_list4_critical28_they,Sam gave the knife to their sister.,0,0,0,0,0,1,0,0,their,1
3_038,both,1,1,T_HS,they,he,12,both_list4_critical29_they,Sam gave the cookie to their brother.,0,0,0,0,0,1,0,0,their,1
3_038,both,1,1,T_HS,they,he,12,both_list4_critical30_they,Sam gave the tomato to their sister.,0,0,0,0,0,1,0,0,their,1
3_039,both,1,1,HS_HS,he,she,13,both_list5_critical01_he,Casey gave some chocolate to his brother.,0,1,0,0,0,0,0,0,his,1
3_039,both,1,1,HS_HS,he,she,13,both_list5_critical02_he,Casey gave some cherries to his sister.,0,1,0,0,0,0,0,0,his,1
3_039,both,1,1,HS_HS,he,she,13,both_list5_critical03_he,Casey gave the avocado to his sister.,0,1,0,0,0,0,0,0,his,1
