ParticipantID,TrialType,TrialID,Pronoun_Pair,T_Pronoun,C_Pronoun,Match_Num,Match_Start,Match_End,Match_RT,IsOutlier
4_002,CR,L02_CR94_S21,They|HeShe,they/them,she/her,1,1035010.054,1037983,2972.945578,FALSE
4_002,CR,L02_CR49_S56,HeShe|They,she/her,they/them,1,1047450.365,1048876,1425.634921,FALSE
4_002,CR,L02_CR03_S30,HeShe|SheHe,he/him,she/her,1,1059545.535,1061736,2190.464853,FALSE
4_002,FD,L02_FD08_S53,HeShe|They,she/her,they/them,0,1071823.315,1073853,2029.684807,FALSE
4_002,CR,L02_CR38_S06,HeShe|SheHe,she/her,he/him,1,1084420.215,1085893,1472.78458,FALSE
4_002,CR,L02_CR36_S30,HeShe|SheHe,she/her,he/him,1,1096641.535,1101054,4412.464853,FALSE
4_002,CR,L02_CR04_S27,HeShe|SheHe,he/him,she/her,1,1111408.955,1114945,3536.045351,FALSE
4_002,CR,L02_CR89_S18,They|HeShe,they/them,she/her,1,1125014.673,1126764,1749.326531,FALSE
4_002,FD,L02_FD05_S57,HeShe|They,she/her,they/them,0,1137588.735,1138897,1308.265306,FALSE
4_002,FP,L02_FP06_S44,They|HeShe,they/them,he/him,0,1149526.451,1152601,3074.548753,FALSE
4_002,CR,L02_CR14_S38,HeShe|SheHe,he/him,she/her,1,1162772.331,1165794,3021.668934,FALSE
4_002,CR,L02_CR42_S33,HeShe|SheHe,she/her,he/him,1,1175832.576,1179181,3348.424036,FALSE
4_002,CR,L02_CR45_S36,HeShe|SheHe,she/her,he/him,1,1190634.254,1192220,1585.746032,FALSE
4_002,CR,L02_CR57_S53,HeShe|They,she/her,they/them,1,1202387.315,1204281,1893.684807,FALSE
4_002,CR,L02_CR31_S12,HeShe|They,he/him,they/them,1,1216298.776,1220323,4024.22449,FALSE
4_002,CR,L02_CR09_S08,HeShe|SheHe,he/him,she/her,1,1229818.476,1235345,5526.52381,FALSE
4_002,CR,L02_CR47_S37,HeShe|SheHe,she/her,he/him,1,1245362.333,1246835,1472.666667,FALSE
4_002,CR,L02_CR06_S31,HeShe|SheHe,he/him,she/her,1,1257573.422,1259518,1944.578231,FALSE
4_002,CR,L02_CR73_S03,They|HeShe,they/them,he/him,1,1270172.435,1272012,1839.564626,FALSE
4_002,CR,L02_CR08_S35,HeShe|SheHe,he/him,she/her,1,1281608.646,1291595,9986.353741,FALSE
4_002,CR,L02_CR16_S40,HeShe|SheHe,he/him,she/her,1,1301515.796,1305909,4393.204082,FALSE
4_002,CR,L02_CR78_S13,They|HeShe,they/them,he/him,1,1315975.766,1317775,1799.23356,FALSE
4_002,CR,L02_CR93_S21,They|HeShe,they/them,she/her,1,1328757.054,1330485,1727.945578,FALSE
4_002,CR,L02_CR71_S44,They|HeShe,they/them,he/him,1,1340692.451,1342347,1654.548753,FALSE
4_002,CR,L02_CR76_S05,They|HeShe,they/them,he/him,1,1351422.492,1352818,1395.507937,FALSE
4_002,CR,L02_CR50_S56,HeShe|They,she/her,they/them,1,1362434.365,1365940,3505.634921,FALSE
4_002,CR,L02_CR56_S20,HeShe|They,she/her,they/them,1,1376974.236,1378758,1783.764172,FALSE
4_002,CR,L02_CR25_S41,HeShe|They,he/him,they/them,1,1388949.535,1390616,1666.464853,FALSE
4_002,FD,L02_FD09_S51,They|HeShe,they/them,she/her,0,1400556.646,1402541,1984.353741,FALSE
4_002,FP,L02_FP01_S27,HeShe|SheHe,he/him,she/her,1,1412870.955,1414074,1203.045351,FALSE
4_002,CR,L02_CR05_S31,HeShe|SheHe,he/him,she/her,1,1424751.422,1428892,4140.578231,FALSE
4_002,CR,L02_CR96_S22,They|HeShe,they/them,she/her,1,1439627.385,1443645,4017.614512,FALSE
4_002,CR,L02_CR22_S01,HeShe|They,he/him,they/them,1,1454663.986,1459048,4384.013605,FALSE
4_002,CR,L02_CR21_S05,HeShe|They,he/him,they/them,1,1468063.492,1469266,1202.507937,FALSE
4_002,CR,L02_CR84_S60,They|HeShe,they/them,she/her,1,1480083.986,1481685,1601.013605,FALSE
4_002,FP,L02_FP08_S04,They|HeShe,they/them,he/him,1,1492769.485,1498573,5803.514739,FALSE
4_002,CR,L02_CR95_S25,They|HeShe,they/them,she/her,1,1508788.875,1510131,1342.124717,FALSE
4_002,CR,L02_CR24_S02,HeShe|They,he/him,they/them,1,1521118.399,1522600,1481.600907,FALSE
4_002,CR,L02_CR28_S42,HeShe|They,he/him,they/them,1,1532537.116,1534505,1967.884354,FALSE
4_002,FD,L02_FD07_S24,HeShe|They,she/her,they/them,0,1544776.336,1552089,7312.664399,FALSE
4_002,CR,L02_CR85_S55,They|HeShe,they/them,she/her,1,1561831.365,1599051,37219.63492,TRUE
4_002,CR,L02_CR77_S13,They|HeShe,they/them,he/him,1,1608744.766,1611441,2696.23356,FALSE
4_002,FD,L02_FD02_S01,HeShe|They,he/him,they/them,0,1621415.986,1623132,1716.013605,FALSE
4_002,CR,L02_CR10_S08,HeShe|SheHe,he/him,she/her,1,1633053.476,1634313,1259.52381,FALSE
4_002,CR,L02_CR37_S06,HeShe|SheHe,she/her,he/him,1,1645180.215,1646569,1388.78458,FALSE
4_002,CR,L02_CR80_S15,They|HeShe,they/them,he/him,1,1657212.9,1659666,2453.099773,FALSE
4_002,CR,L02_CR68_S50,They|HeShe,they/them,he/him,1,1669410.866,1670935,1524.133787,FALSE
4_002,CR,L02_CR65_S48,They|HeShe,they/them,he/him,1,1680689.27,1682116,1426.730159,FALSE
4_002,FP,L02_FP04_S37,HeShe|SheHe,she/her,he/him,1,1691901.333,1693173,1271.666667,FALSE
4_002,CR,L02_CR52_S57,HeShe|They,she/her,they/them,1,1704351.735,1706683,2331.265306,FALSE
4_002,CR,L02_CR90_S18,They|HeShe,they/them,she/her,1,1717018.673,1767257,50238.32653,TRUE
4_002,FP,L02_FP02_S39,HeShe|SheHe,he/him,she/her,1,1776813.617,1779065,2251.38322,FALSE
4_002,CR,L02_CR59_S55,HeShe|They,she/her,they/them,1,1788978.365,1790396,1417.634921,FALSE
4_002,FD,L02_FD06_S17,HeShe|They,she/her,they/them,0,1801375.855,1803070,1694.145125,FALSE
4_002,CR,L02_CR46_S36,HeShe|SheHe,she/her,he/him,1,1814806.254,1816120,1313.746032,FALSE
4_002,CR,L02_CR13_S38,HeShe|SheHe,he/him,she/her,1,1826497.331,1850572,24074.66893,FALSE
4_002,CR,L02_CR54_S16,HeShe|They,she/her,they/them,1,1860581.576,1862178,1596.424036,FALSE
4_002,CR,L02_CR61_S23,HeShe|They,she/her,they/them,1,1873153.315,1874590,1436.684807,FALSE
4_002,CR,L02_CR39_S10,HeShe|SheHe,she/her,he/him,1,1886214.955,1887882,1667.045351,FALSE
4_002,CR,L02_CR11_S10,HeShe|SheHe,he/him,she/her,1,1898734.955,1903148,4413.045351,FALSE
4_002,CR,L02_CR18_S46,HeShe|They,he/him,they/them,1,1913327.086,1918509,5181.913832,FALSE
4_002,CR,L02_CR92_S19,They|HeShe,they/them,she/her,1,1929566.785,1931724,2157.21542,FALSE
4_002,CR,L02_CR62_S23,HeShe|They,she/her,they/them,1,1942267.315,1943802,1534.684807,FALSE
4_002,FD,L02_FD03_S09,HeShe|SheHe,he/him,she/her,0,1953806.646,1955209,1402.353741,FALSE
4_002,CR,L02_CR48_S40,HeShe|SheHe,she/her,he/him,1,1965666.796,1967244,1577.204082,FALSE
4_002,CR,L02_CR40_S07,HeShe|SheHe,she/her,he/him,1,1979769.914,1982482,2712.086168,FALSE
4_002,CR,L02_CR91_S20,They|HeShe,they/them,she/her,1,1993198.236,1994637,1438.764172,FALSE
4_002,CR,L02_CR64_S24,HeShe|They,she/her,they/them,1,2005196.336,2007558,2361.664399,FALSE
4_002,CR,L02_CR67_S49,They|HeShe,they/them,he/him,1,2016526.435,2018215,1688.564626,FALSE
4_002,CR,L02_CR17_S46,HeShe|They,he/him,they/them,1,2027809.086,2029133,1323.913832,FALSE
4_002,FP,L02_FP05_S59,They|HeShe,they/them,she/her,1,2039574.644,2042447,2872.356009,FALSE
4_002,CR,L02_CR75_S04,They|HeShe,they/them,he/him,1,2053012.485,2054363,1350.514739,FALSE
4_002,CR,L02_CR33_S28,HeShe|SheHe,she/her,he/him,1,2064705.816,2066322,1616.183673,FALSE
4_002,CR,L02_CR86_S51,They|HeShe,they/them,she/her,1,2076271.646,2077919,1647.353741,FALSE
4_002,FD,L02_FD04_S12,HeShe|They,he/him,they/them,0,2089508.776,2090839,1330.22449,FALSE
4_002,CR,L02_CR87_S52,They|HeShe,they/them,she/her,1,2100371.283,2102833,2461.716553,FALSE
4_002,CR,L02_CR27_S45,HeShe|They,he/him,they/them,1,2112770.646,2114250,1479.353741,FALSE
4_002,CR,L02_CR74_S03,They|HeShe,they/them,he/him,1,2125020.435,2126488,1467.564626,FALSE
