Participant,Age,English,Gender,Condition,List,PSA,Biography,Name,Job,Pet,Pronoun,M_Type,M_Response,M_Acc,P_Text,P_Response,P_Acc
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Amanda,engineer,cat,she/her,job,engineer,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Amanda,engineer,cat,she/her,pet,cat,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Amanda,engineer,cat,she/her,pronoun,she/her,1,she gave her baby a bath,she/her,1
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Laura,mechanic,cat,she/her,job,mechanic,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Laura,mechanic,cat,she/her,pet,dog,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Laura,mechanic,cat,she/her,pronoun,she/her,1,she washed her hands,she/her,1
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Michael,salesperson,fish,they/them,pronoun,he/him,0,he hugged his children,he/him,0
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Kevin,doctor,dog,they/them,pet,cat,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Kevin,doctor,dog,they/them,pronoun,they/them,1,they took the trash out,they/them,1
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Kevin,doctor,dog,they/them,job,doctor,1,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Jessica,food service,fish,she/her,pet,dog,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Jessica,food service,fish,she/her,pronoun,they/them,0,she ate leftovers. ,she/her,1
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Amanda,engineer,cat,she/her,job,janitor,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Jessica,food service,fish,she/her,job,IT,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Amanda,engineer,cat,she/her,pronoun,she/her,1,she read a book. ,she/her,1
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Andrew,teacher,dog,he/him,job,doctor,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Andrew,teacher,dog,he/him,pet,dog,1,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Amanda,engineer,cat,she/her,pet,cat,1,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Melissa,IT,fish,they/them,job,doctor,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Melissa,IT,fish,they/them,pet,cat,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Melissa,IT,fish,they/them,pronoun,they/them,1,she prepared dinner. ,she/her,0
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Andrew,teacher,dog,he/him,pronoun,they/them,0,he graded papers. ,he/him,1
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Stephanie,nurse,cat,they/them,pet,dog,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Stephanie,nurse,cat,they/them,pronoun,she/her,0,she took a shower. ,she/her,0
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Emily,Uber driver,dog,she/her,job,retail,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Emily,Uber driver,dog,she/her,pet,dog,1,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Emily,Uber driver,dog,she/her,pronoun,she/her,1,she went to bed.,she/her,1
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Daniel,retail,cat,he/him,job,engineer,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Daniel,retail,cat,he/him,pet,fish,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Daniel,retail,cat,he/him,pronoun,he/him,1,he called some friends. ,he/him,1
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Michael,salesperson,fish,they/them,job,engineer,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Michael,salesperson,fish,they/them,pet,cat,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Michael,salesperson,fish,they/them,pronoun,they/them,1,he went out to dinner. ,he/him,0
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Laura,mechanic,cat,she/her,job,accountant,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Stephanie,nurse,cat,they/them,job,nurse,1,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Laura,mechanic,cat,she/her,pronoun,she/her,1,she washed her hands.,she/her,1
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,James,janitor,dog,he/him,job,food service,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,James,janitor,dog,he/him,pet,dog,1,NA,NA,NA
